record_manager,company,phone,address1,city,state,zipcode,website,industry,company_email
Deanna Sigel,My Flooring Guy,(425) 471-0393,22405 42nd Pl W,Mount Lake Terrace,WA,,https://www.myflooringguy.com/,,
Chuck Maylin,NAB,(202) 429-5400,1771 N St NW,Washington,DC,20036,www.nab.org,Communication,nab@nab.org
House,NAPA Auto Parts Lynnwood,,,Everett,WA,,,,
Stitch Mitchell,Neatnics Cleaning Service,,"303 4TH AVE N,",Edmonds,WA,98020,https://neatnics-home-and-office-cleaning.business.site/?utm_source=gmb&utm_medium=referral,,
Amp Harrell,Nelson Petroleum,,1125 - 80th St. SW,Everett,WA,,http://www.nelsonpetroleum.com/_index.php,,
Deanna Sigel,New York Life,,10885 NE 4th Suite 1400,Bellevue,WA,98004,https://www.newyorklife.com/,,
Amp Harrell,Next Level Books LLC,(425) 835-2535,,Everett,WA,,nextlevelbooksllc.com,Financial / Insurance,
House,Nickerson Engineering,,2221 Everett Ave,Everett,WA,98201,,,info@nickersonengineering.com
Amp Harrell,Nielsen Bros Flooring,,6812 196th St. SW,Lynnwood,WA,98036,https://www.nielsenbrosflooring.com/,,
Amp Harrell,Nip Tuck Remodeling,(425) 681-7668,11312 180th St SE,Snohomish,WA,98296,https://niptuckremodel.com/,Construction,
House,NOAH Center,,31300 Brandstrom Rd,Stanwood,WA,98292,https://www.thenoahcenter.org/,,
Deanna Sigel,North Creek Roofing,,"16000 MILL CREEK BLVD, STE. 102",Mill Creek,WA,98012,www.northcreekroofing.com,,info@northcreekroofing.com
House,North Pacific,,,,,,,,
Maury Eskenazi,Northwest Barricade and Signs,(425) 659-3773,3011 Broadway,Everett,WA,98201,/northwestbarricadeandsigns.com,,info@northwestbarricadeandsigns.com
Amp Harrell,Northwest Building Supplies Inc,,,Snohomish,WA,,nwbuildingsupplies.com,Construction,
Deanna Sigel,Northwest Complete Construction,(425) 308-0046,,,WA,,,,jjackccurtis@gmail.com
Amp Harrell,Northwest Fishing Charters,(425) 328-4664,336 Admiral Way,Edmonds,WA,98020,https://nwfishingcharters.com/,Travel / Hospitality,Rich@nwfishingcharters.com
House,Northwest Motorsport,,,Puyallup,WA,,http://www.nwmsrocks.com/locations,,
Amp Harrell,Northwest Natural Lighting,,7906 230th St SW,Edmonds,WA,98026,nwnaturallighting.com,,
Maury Eskenazi,Northwest Plus Credit Union,(425) 297-1000,2821 Hewitt Avenue,Everett,WA,98201,www.nwpluscu.com,,
Stitch Mitchell,Northwest Straits Foundation,,1155 N. State St. #402,Bellingham,WA,98225,nwstraitsfoundation.org,,
Amp Harrell,Norwest Kitchen and Remodel,(425) 821-0504,6425 212th St. Southwest,Lynnwood,WA,98036,http://www.norwestknr.com/,Construction,NorwestKitchen@hotmail.com
House,NW Diesel LLC,,4721 56th Pl NE,Marysville,WA,98270,,,
Amp Harrell,NW Outdoor Lighting,(425) 633-6074,,,,,https://www.nwoutdoorlighting.com/,Construction,
House,NW Security and Sound,,1208 10th St Ste 101,Snohomish,WA,98290,http://www.nwsecurityandsound.biz/contact,,
Maury Eskenazi,Olympic Escrow,,427 N. Olympic Ave,,WA,,www.olympicescrow.com,,
Deanna Sigel,Olympic Hot Tub,,23006 67th Place West,Mountlake Terrace,WA,98043,http://www.olympichottub.com/,,
Chuck Maylin,Omnia Group,(800) 525-7117,1501 West Cleveland St.,Tamap,FL,33606,www.omniagroup.com,,
Chuck Maylin,One Sixteen & West,(208) 472-2129,805 West Idaho Street,Boise,ID,83702,www.116andwest.com,,
Stitch Mitchell,Orca Beverage,,11903 Cyrus Way #5,Mukilteo,WA,98275,OrcaBeverage.Com,,
Chuck Maylin,Origin Marketing Communication,(425) 315-6464,934 4th St,Mukilteo,WA,98275,originmarketingcommunication.com,Advertising/Marketing,origin@comcast.net
Deanna Sigel,Overhead Door Company of Everett,(425) 252-4454,3303 16th Street,Everett,WA,,http://www.overheaddoorofeverett.com/,Construction,
Stitch Mitchell,Own the Night Productions,(206) 450-4433,,,WA,,ownthenightpro.com,,paul@otnpro.com
Chuck Maylin,Pacific Copy & Printing,(425) 252-5898,3811-A Broadway,Everett,WA,98201,www.paccopy.com,,
Amp Harrell,Pacific Crest Financial Advisors,,"3002 Colby Ave, Suite 305",Everett,WA,98201,http://www.pacificcrestfa.com/,,
House,Pacific Crest Savings Bank,,3500 188th St. SW #575,Lynnwood,WA,98037,paccrest.com,,
Maury Eskenazi,Pacific Medical Center,,1200 12th Avenue S,"Seattle,",WA,98144,,,
Stitch Mitchell,Pacific Plumbing,,,,WA,,pacificplumbing.com,,
Maury Eskenazi,Pacific Power Batteries,(800) 326-7406,3729 Broadway,Everett,WA,98201,www.pacificpowerbatteries.com,,everett@pacificpowerbatteries.com
House,Pacific Ridge Homes,(425) 438-8444,17921 Bothell-Everett Highway,Everett,WA,,https://www.drhorton.com,,
Chuck Maylin,Paesano Coffee & Cafe,,14655 Fryelands Blvd SE,Monroe,WA,98272,,,
Stitch Mitchell,Paine Field,(425) 388-5373,3220 100th St. SW Suite A,Everett,WA98204,,www.painefield.com,,
Stitch Mitchell,Paine Field,,"3220 100th St. SW, Suite A",Everett,WA,98204,www.painefield.com,,
House,Papa Murphy's Pizza - Mukilteo,,12721 Mukilteo Speedway,Lynnwood,WA,98087,http://www.papamurphys.com/,,
House,Paramount Theatre,(206) 467-5510,901 Pine Street,Seattle,WA,98101,,,
